ps,cor.258176_at,cor.258177_at,cor.258084_at,cor.251865_at,cor.257958_at,cor.255731_at,cor.256187_at,cor.258060_at,cor.259359_at
257906_at,0.1012011366,0.5266795381,0.03007399063,0.1303927799,0.3585284844,0.5287159663,0.5244183503,0.2995283217,0.08431412636
258210_at,0.1139970544,0.5536708477,0.09075728188,0.2239479378,0.379761764,0.6255236789,0.5746282847,0.4155169699,0.05683238108
258680_at,0.00873736965,0.5572306318,0.121843921,0.1459742187,0.3100913638,0.5878087923,0.5864519333,0.3736768735,0.02888869969
258835_at,0.1497183493,0.5537197636,0.1675270804,0.2048201391,0.5069260621,0.4488922034,0.502408338,0.4192041796,0.1472968833
258862_at,0.09422954119,0.5545050075,0.2056987238,0.1753776653,0.378602957,0.5745557087,0.5838441592,0.3491671566,0.09392535701
259016_at,0.04081891586,0.5660460025,0.08268792495,0.1760857488,0.4003496497,0.5711030516,0.5557838953,0.366663945,0.0268790196
259465_at,0.161086458,0.5474430126,0.1070662988,0.2138346999,0.5291874532,0.4132080135,0.5162975938,0.4059203889,0.03672242572
259712_at,1.76E-04,0.5040713057,0.08993824223,0.2085078002,0.3443484304,0.5523671207,0.5265337014,0.2765826223,0.004209926372
260426_at,0.004324228955,0.5392071831,0.08853300281,0.1779916657,0.3369884438,0.5106375349,0.504659201,0.3083790134,0.09257752578
260838_at,0.1628361718,0.5234834589,0.09559403677,0.1600116239,0.5035942337,0.3967854036,0.5249080155,0.37353615,0.0392757012
260913_at,0.08487054157,0.5050490177,0.2533303449,0.2038940744,0.2748988405,0.5407755114,0.5488643854,0.4487622494,0.1165391164
261204_s_at,0.04419515319,0.5122620826,0.2305976015,0.1937728731,0.3767501046,0.5127067655,0.5263238225,0.4293447796,0.1152820122
261270_at,0.03453986866,0.5290864059,0.02707739788,0.1718472396,0.4094576922,0.6226586921,0.552157628,0.3803085574,0.05262231935
262117_at,0.03592044022,0.5404274856,0.0203082813,0.1828221224,0.3232169103,0.526512263,0.525577284,0.3020907187,0.049219362
262329_at,0.007358903933,0.5133585442,0.0391895001,0.112607076,0.2970796572,0.5443612433,0.5166414717,0.4089579495,0.01161943529
262718_at,0.1677016173,0.6187805411,0.2181461688,0.235752286,0.5625135181,0.4007668842,0.5132439437,0.4132895005,0.04647820114
262820_at,0.16443226,0.5284722299,0.04246731207,0.07981153071,0.2601804726,0.5918295889,0.5085609535,0.3352156481,0.00461499793
263506_s_at,0.2012045745,0.5731870326,0.1580807621,0.2123372343,0.5398237003,0.4375223851,0.5575442998,0.4866478805,0.09531665097
263817_at,0.1953720004,0.6113366247,0.1564095427,0.2152596994,0.5008670123,0.4384601372,0.5275755224,0.4120440712,0.07690717518
263874_at,0.1205602509,0.5884517146,0.1659230592,0.1207918726,0.4305868127,0.533994808,0.5892261286,0.3724971699,0.1284246982
264050_at,0.09046305365,0.5851018248,0.215310588,0.2238047518,0.5097604519,0.4543837144,0.5212969198,0.4312708412,0.06151739294
264302_at,0.04656062396,0.5042376546,0.1708604898,0.1762900422,0.345257538,0.5819467745,0.5846098385,0.4829425968,0.1228876714
264428_at,0.005223870792,0.556889939,0.1613472316,0.05095151461,0.3135862471,0.5295804903,0.5521204087,0.4597663331,0.08969234632
265240_s_at,0.1969453152,0.5104487772,0.1391568405,0.1816917946,0.5479110594,0.4506141247,0.5609446494,0.4106290357,0.08447008919
265257_at,0.162494817,0.5216004592,0.2528903928,0.1047706363,0.3401156681,0.5660203553,0.5598555844,0.3207444834,0.102519689
266205_s_at,0.007374503763,0.4785820032,0.1783854395,0.100482754,0.3725588686,0.6026066182,0.5876451748,0.5420046782,0.06811792166
266931_at,0.1436304156,0.5640414762,0.2205620436,0.2079488841,0.4883992337,0.5060093541,0.533067263,0.4266526322,0.1027064656
